epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45283,0.97879,6.21969,1.17726,0.1283,0.1569,0.02763,0.01979,0.62136,5.37609,0.98973,4.614e-05,4.614e-05,4.614e-05
2,3.65491,0.94329,3.80954,1.13085,0.43537,0.30924,0.27818,0.22828,0.63378,6.26961,1.00223,9.89803e-05,9.89803e-05,9.89803e-05
3,4.90146,0.7012,2.186,1.0305,0.4078,0.5353,0.50758,0.4445,0.50811,2.35386,0.90596,0.000150755,0.000150755,0.000150755
4,6.03657,0.61691,1.67696,0.95812,0.58226,0.55225,0.58056,0.51845,0.48954,1.75344,0.88818,0.000201463,0.000201463,0.000201463
5,7.16941,0.56837,1.33332,0.93174,0.60254,0.72402,0.72708,0.65142,0.46026,1.31048,0.86052,0.000251106,0.000251106,0.000251106
6,8.26804,0.52258,1.07048,0.9007,0.60974,0.71739,0.79632,0.70738,0.45965,1.2566,0.84566,0.000299683,0.000299683,0.000299683
7,9.38687,0.52572,0.9868,0.90019,0.78192,0.69415,0.84219,0.75753,0.45478,1.05201,0.84152,0.000347194,0.000347194,0.000347194
8,10.4467,0.50122,0.78525,0.88132,0.78087,0.81281,0.91637,0.80883,0.45459,0.85621,0.82878,0.00039364,0.00039364,0.00039364
9,11.643,0.52403,0.72305,0.9035,0.90039,0.92976,0.97228,0.87988,0.42827,0.53022,0.81289,0.000439019,0.000439019,0.000439019
10,12.6587,0.47942,0.62021,0.88032,0.88427,0.94241,0.97225,0.89098,0.40748,0.5238,0.8042,0.000483333,0.000483333,0.000483333
11,13.6451,0.47932,0.61737,0.87685,0.95555,0.95282,0.98658,0.90101,0.40121,0.42982,0.80638,0.00052658,0.00052658,0.00052658
12,14.6539,0.48557,0.5402,0.8679,0.95932,0.92812,0.98644,0.90247,0.39186,0.42847,0.8036,0.000568762,0.000568762,0.000568762
13,15.6378,0.50272,0.56313,0.877,0.97569,0.98069,0.99223,0.90317,0.40362,0.38974,0.8024,0.000609879,0.000609879,0.000609879
14,16.645,0.47977,0.52231,0.86527,0.9787,0.97821,0.99337,0.91246,0.39274,0.36674,0.8004,0.000649929,0.000649929,0.000649929
15,17.6121,0.5033,0.51549,0.87411,0.98328,0.9815,0.99385,0.91625,0.38966,0.36142,0.7968,0.000662417,0.000662417,0.000662417
16,18.6076,0.45661,0.47954,0.86312,0.98418,0.98473,0.9947,0.91269,0.39908,0.37274,0.80034,0.000654804,0.000654804,0.000654804
17,19.5036,0.46996,0.4836,0.86859,0.9881,0.97737,0.99283,0.91465,0.38801,0.348,0.79379,0.00064719,0.00064719,0.00064719
18,20.4173,0.45793,0.48217,0.86259,0.9924,0.9796,0.99481,0.91741,0.38933,0.33986,0.7956,0.000639577,0.000639577,0.000639577
19,21.3948,0.46097,0.44435,0.85531,0.97883,0.99094,0.99171,0.92207,0.37031,0.34087,0.78953,0.000631964,0.000631964,0.000631964
20,22.51,0.44381,0.46154,0.85386,0.98698,0.98615,0.995,0.93211,0.36038,0.32091,0.78979,0.000624351,0.000624351,0.000624351
21,23.5213,0.41005,0.39175,0.8322,0.98823,0.99524,0.9949,0.93618,0.36368,0.29806,0.7896,0.000616738,0.000616738,0.000616738
22,24.4981,0.42174,0.43656,0.85367,0.98166,0.99457,0.99486,0.94024,0.33482,0.2959,0.78353,0.000609125,0.000609125,0.000609125
23,25.4711,0.42564,0.42702,0.8563,0.98552,0.98714,0.99494,0.93219,0.34939,0.31378,0.78698,0.000601512,0.000601512,0.000601512
24,26.3869,0.43253,0.40926,0.84259,0.9912,0.99504,0.99471,0.94469,0.33577,0.28605,0.78698,0.000593899,0.000593899,0.000593899
25,27.3535,0.42887,0.41253,0.85929,0.99313,0.99303,0.9945,0.9466,0.33043,0.28493,0.78609,0.000586286,0.000586286,0.000586286
26,28.3273,0.40807,0.39035,0.85302,0.99378,0.994,0.99467,0.94336,0.33397,0.27597,0.78804,0.000578672,0.000578672,0.000578672
27,29.2483,0.42003,0.38938,0.85385,0.98243,0.99265,0.99415,0.95063,0.31271,0.2572,0.78197,0.000571059,0.000571059,0.000571059
28,30.2562,0.41389,0.37207,0.85218,0.99021,0.99241,0.99427,0.94916,0.31816,0.26051,0.77939,0.000563446,0.000563446,0.000563446
29,31.1526,0.43027,0.38407,0.84857,0.99632,0.99642,0.9948,0.94991,0.30521,0.25611,0.7796,0.000555833,0.000555833,0.000555833
30,32.0685,0.41705,0.37176,0.84764,0.99596,0.99471,0.995,0.95375,0.3145,0.26363,0.77868,0.00054822,0.00054822,0.00054822
31,33.0943,0.41342,0.38908,0.85898,0.99525,1,0.995,0.95315,0.29352,0.25407,0.77785,0.000540607,0.000540607,0.000540607
32,34.016,0.41304,0.38893,0.85565,0.98993,1,0.995,0.94838,0.29894,0.25065,0.77987,0.000532994,0.000532994,0.000532994
33,35.1044,0.42243,0.39306,0.8412,0.98877,1,0.995,0.95172,0.30072,0.25134,0.7795,0.000525381,0.000525381,0.000525381
34,36.0324,0.39615,0.37229,0.85642,0.98693,0.99554,0.995,0.9518,0.30334,0.24537,0.7805,0.000517768,0.000517768,0.000517768
35,36.9551,0.39541,0.35334,0.85107,0.99334,0.99135,0.995,0.95107,0.3021,0.24974,0.77883,0.000510155,0.000510155,0.000510155
36,37.8816,0.39508,0.33957,0.85508,0.99162,0.99538,0.995,0.96381,0.28332,0.24099,0.77711,0.000502541,0.000502541,0.000502541
37,38.8526,0.37423,0.32499,0.84376,0.98953,0.9963,0.995,0.96169,0.28338,0.2434,0.77598,0.000494928,0.000494928,0.000494928
38,39.7774,0.38802,0.33703,0.83504,0.98939,0.9972,0.995,0.96251,0.29406,0.24919,0.77495,0.000487315,0.000487315,0.000487315
39,40.7087,0.37203,0.33805,0.83396,0.99259,0.99898,0.995,0.96626,0.28294,0.2353,0.77391,0.000479702,0.000479702,0.000479702
40,41.6863,0.37178,0.32253,0.83484,0.9968,0.99716,0.995,0.96504,0.28114,0.23297,0.77361,0.000472089,0.000472089,0.000472089
41,42.5845,0.3717,0.331,0.84601,0.99623,0.99677,0.995,0.96659,0.27839,0.23666,0.77438,0.000464476,0.000464476,0.000464476
42,43.5485,0.4016,0.33373,0.85228,0.99423,0.99755,0.995,0.97071,0.26653,0.23061,0.77405,0.000456863,0.000456863,0.000456863
43,44.5374,0.38883,0.31963,0.83926,0.99555,0.99701,0.995,0.96199,0.26908,0.23203,0.77225,0.00044925,0.00044925,0.00044925
44,45.5194,0.36477,0.31433,0.84073,0.99454,0.99677,0.995,0.96304,0.2757,0.22487,0.77265,0.000441637,0.000441637,0.000441637
45,46.5759,0.35931,0.32981,0.82958,0.99772,0.99164,0.99481,0.96178,0.2751,0.22184,0.77251,0.000434024,0.000434024,0.000434024
46,47.5358,0.37141,0.32196,0.82619,0.99828,0.99067,0.99481,0.96683,0.26901,0.22042,0.77323,0.000426411,0.000426411,0.000426411
